"Matching.Attribute","Matching.Attribute.1","name","nms.score.avg","nms.score.EE","nms.score.RE","selected","shared name"
"PTAR1","PTAR1","PTAR1","0.00363484901984137","0.00726969803968274","0.0","false","PTAR1"
"CAPZA2","CAPZA2","CAPZA2","6.1515748031496E-5","1.23031496062992E-4","0.0","false","CAPZA2"
"ATG9A","ATG9A","ATG9A","0.01635748893237025","0.0327149778647405","0.0","false","ATG9A"
"HSBP1L1","HSBP1L1","HSBP1L1","3.075787401574805E-4","6.15157480314961E-4","0.0","false","HSBP1L1"
"ENSG00000229413.2","ENSG00000229413.2","ENSG00000229413.2","4.921259842519685E-4","9.84251968503937E-4","0.0","false","ENSG00000229413.2"
"DAAM2-AS1","DAAM2-AS1","DAAM2-AS1","0.0081746267635845","0.016349253527169","0.0","false","DAAM2-AS1"
"PRKCQ-AS1","PRKCQ-AS1","PRKCQ-AS1","1.5378937007874E-4","3.0757874015748E-4","0.0","false","PRKCQ-AS1"
"LRRC37A2","LRRC37A2","LRRC37A2","2.15305118110236E-4","4.30610236220472E-4","0.0","false","LRRC37A2"
"RDH14","RDH14","RDH14","0.0117089667561774","0.0234179335123548","0.0","false","RDH14"
"ENSG00000240859.3","ENSG00000240859.3","ENSG00000240859.3","0.00175932224004036","0.00351864448008072","0.0","false","ENSG00000240859.3"
"ADAMTS9-AS2","ADAMTS9-AS2","ADAMTS9-AS2","1.5378937007874E-4","3.0757874015748E-4","0.0","false","ADAMTS9-AS2"
"UBR5-DT","UBR5-DT","UBR5-DT","0.001593028054572615","0.00318605610914523","0.0","false","UBR5-DT"
"BCKDHA","BCKDHA","BCKDHA","2.46062992125984E-4","4.92125984251968E-4","0.0","false","BCKDHA"
"HOXC-AS3","HOXC-AS3","HOXC-AS3","0.0","0.0","0.0","false","HOXC-AS3"
"LINC02328","LINC02328","LINC02328","0.00116241781835214","0.00232483563670428","0.0","false","LINC02328"
"ENSG00000260228.6","ENSG00000260228.6","ENSG00000260228.6","0.0","0.0","0.0","false","ENSG00000260228.6"
"ENSG00000260583.1","ENSG00000260583.1","ENSG00000260583.1","3.075787401574805E-5","6.15157480314961E-5","0.0","false","ENSG00000260583.1"
"ENSG00000263489.1","ENSG00000263489.1","ENSG00000263489.1","0.0085437212517735","0.017087442503547","0.0","false","ENSG00000263489.1"
"MALT1-AS1","MALT1-AS1","MALT1-AS1","0.0","0.0","0.0","false","MALT1-AS1"
"ENSG00000272462.4","ENSG00000272462.4","ENSG00000272462.4","0.001513259247914375","0.00302651849582875","0.0","false","ENSG00000272462.4"
"ENSG00000289579.1","ENSG00000289579.1","ENSG00000289579.1","0.0","0.0","0.0","false","ENSG00000289579.1"
"Tryptophan","Tryptophan","Tryptophan","0.7944146799419708","1.55084658403079","0.0379827758531516","false","Tryptophan"
"IMP","IMP","IMP","0.0128216847981734","0.0","0.0256433695963468","false","IMP"
"KLHL20","KLHL20","KLHL20","0.0","0.0","0.0","false","KLHL20"
"PXMP4","PXMP4","PXMP4","4.921259842519685E-4","9.84251968503937E-4","0.0","false","PXMP4"
"HOXA5","HOXA5","HOXA5",,,"0.0","false","HOXA5"
"SLC15A3","SLC15A3","SLC15A3","0.0","0.0","0.0","false","SLC15A3"
"PPP2R5D","PPP2R5D","PPP2R5D","0.0","0.0","0.0","false","PPP2R5D"
"NUDT12","NUDT12","NUDT12","4.921259842519685E-4","9.84251968503937E-4","0.0","false","NUDT12"
"IFIT2","IFIT2","IFIT2","6.1515748031496E-4","0.00123031496062992","0.0","false","IFIT2"
"PCYOX1L","PCYOX1L","PCYOX1L","0.00165454380260411","0.00330908760520822","0.0","false","PCYOX1L"
"CCDC102B","CCDC102B","CCDC102B","0.001574774995945875","0.00314954999189175","0.0","false","CCDC102B"
"CDC42SE2","CDC42SE2","CDC42SE2","0.0","0.0","0.0","false","CDC42SE2"
"FBXL14","FBXL14","FBXL14","0.0","0.0","0.0","false","FBXL14"
"SSH3","SSH3","SSH3","3.075787401574805E-5","6.15157480314961E-5","0.0","false","SSH3"
"ZNF483","ZNF483","ZNF483","0.001820837988071855","0.00364167597614371","0.0","false","ZNF483"
"STAG3L3","STAG3L3","STAG3L3","0.0","0.0","0.0","false","STAG3L3"
"FANCM","FANCM","FANCM","0.00484735648390061","0.00969471296780122","0.0","false","FANCM"
"ZNF100","ZNF100","ZNF100","3.383366141732285E-4","6.76673228346457E-4","0.0","false","ZNF100"
"ZNF521","ZNF521","ZNF521","0.0","0.0","0.0","false","ZNF521"
"BHLHB9","BHLHB9","BHLHB9","3.998523622047245E-4","7.99704724409449E-4","0.0","false","BHLHB9"
