feature_id	gene_symbol	chromosome_name	logFC	CI.L	CI.R	logLik	t	AveExpr	p_value	adj_p_value	contrast	full_model	assay	entrez_gene	ensembl_gene	custom_annotation	relationship_to_gene	uniprot	refmet_name	kegg_id	flanking_sequence
P48553	TRAPPC10	21	-0.00198290810168458	-0.147423924339514	0.143458108136145	-1.70490314229289	-0.0282044879293889	0.0760188623210015	0.977742501102508	0.991286764708999	SexMale	~ Sex	prot-pr	7109	ENSG00000160218	NA	NA	P48553	NA	NA	NA
P13861	PRKAR2A	3	0.0017773063574156	-0.131017466586272	0.134572079301103	8.09931691066254	0.0276875065380779	-0.0359739274335642	0.97815036584611	0.991570696228161	SexMale	~ Sex	prot-pr	5576	ENSG00000114302	NA	NA	P13861	NA	NA	NA
L0R819	ASDURF	2	0.00232328886876399	-0.174723132881936	0.179369710619464	1.72254140417731	0.0275707788818849	-0.220535217740157	0.978308090371429	0.991601014515488	SexMale	~ Sex	prot-pr	110599588	ENSG00000286053	NA	NA	L0R819	NA	NA	NA
Q16539	MAPK14	6	0.00161449525426625	-0.122148525059677	0.125377515568209	-3.76005578655413	0.0269866145388985	-0.585107310932059	0.978703333822322	0.991769659795722	SexMale	~ Sex	prot-pr	1432	ENSG00000112062	NA	NA	Q16539	NA	NA	NA
Q969M7	UBE2F	2	-0.00154729051774642	-0.120308156619032	0.117213575583539	5.53181188936188	-0.026952623230581	0.00717945408079893	0.978730151507612	0.991769659795722	SexMale	~ Sex	prot-pr	140739	ENSG00000184182	NA	NA	Q969M7	NA	NA	NA
A6NI79	CCDC69	5	-0.00240909532120601	-0.191199176935332	0.18638098629292	-3.59538943263116	-0.0263983840272726	-0.411331230289357	0.979167426076371	0.991957878474832	SexMale	~ Sex	prot-pr	26112	ENSG00000198624	NA	NA	A6NI79	NA	NA	NA
Q8N8Q8	COX18	4	0.0027771971698904	-0.217635950815023	0.223190345154804	12.7021161090995	0.0264729411395802	-0.18064261016563	0.979171620696089	0.991957878474832	SexMale	~ Sex	prot-pr	285521	ENSG00000163626	NA	NA	Q8N8Q8	NA	NA	NA
Q9NVJ2	ARL8B	3	-0.00137628693118339	-0.11025515859412	0.107502584731753	19.1208852881191	-0.0261497720182122	0.00351464997768559	0.979363574084564	0.99202279772138	SexMale	~ Sex	prot-pr	55207	ENSG00000134108	NA	NA	Q9NVJ2	NA	NA	NA
Q9H6S0	YTHDC2	5	0.00192710860295362	-0.154173315361241	0.158027532567148	11.8403549346275	0.0255390442183935	-0.651057273972303	0.979845427072848	0.992320484422312	SexMale	~ Sex	prot-pr	64848	ENSG00000047188	NA	NA	Q9H6S0	NA	NA	NA
P67812	SEC11A	15	0.00321303906064658	-0.257930218194016	0.264356296315309	7.13854474440532	0.0254530435712434	1.44305247970722	0.979913280634098	0.992320484422312	SexMale	~ Sex	prot-pr	23478	ENSG00000140612	NA	NA	P67812	NA	NA	NA
