"tissue","assay","feature_id","logFC_precawg","CI.L_precawg","CI.R_precawg","adj_p_value_precawg","randomGroupCode","Timepoint","platform","logFC_sex_diff","CI.L_sex_diff","CI.R_sex_diff","adj_p_value_sex_diff","entrez_gene","gene_symbol","ensembl_gene","uniprot","refmet_name","refmet_id","kegg_id"
"blood","transcript-rna-seq","ENSG00000070413.20",0.255923530201655,0.143317483383723,0.368529577019588,0.000189295749993803,"ADUResist","post_3.5_4_hr","transcript-rna-seq",-0.23867606522775,-0.368978062485617,-0.108374067969884,0.00791447511076481,"9993","DGCR2","ENSG00000070413",NA,NA,NA,NA
"blood","transcript-rna-seq","ENSG00000160883.11",0.365073747788808,0.204432812153509,0.525714683424108,0.000189295749993803,"ADUResist","post_3.5_4_hr","transcript-rna-seq",-0.403048183802301,-0.583728495832811,-0.222367871771792,0.00132328064314154,"3101","HK3","ENSG00000160883",NA,NA,NA,NA
"blood","transcript-rna-seq","ENSG00000186517.14",0.23167752571918,0.129719555479356,0.333635495959003,0.000189295749993803,"ADUResist","post_3.5_4_hr","transcript-rna-seq",-0.236058845423933,-0.354818782350748,-0.117298908497119,0.00374071244680929,"257106","ARHGAP30","ENSG00000186517",NA,NA,NA,NA
"blood","transcript-rna-seq","ENSG00000187109.15",-0.200435615023491,-0.288661894158044,-0.112209335888939,0.000190113007024226,"ADUResist","post_3.5_4_hr","transcript-rna-seq",0.167777195429751,0.064552188747895,0.271002202111606,0.0213036438828088,"4673","NAP1L1","ENSG00000187109",NA,NA,NA,NA
"blood","transcript-rna-seq","ENSG00000143376.14",0.359950731352451,0.201485722479161,0.518415740225741,0.000190201037421709,"ADUResist","post_3.5_4_hr","transcript-rna-seq",-0.289179383140553,-0.467447552824177,-0.110911213456929,0.02163588988207,"81609","SNX27","ENSG00000143376",NA,NA,NA,NA
"blood","transcript-rna-seq","ENSG00000146067.16",0.269542930727323,0.150856400490617,0.38822946096403,0.000190307190467226,"ADUResist","post_3.5_4_hr","transcript-rna-seq",-0.24981026502225,-0.373251329928277,-0.126369200116224,0.00317574278386949,"54540","FAM193B","ENSG00000146067",NA,NA,NA,NA
"blood","transcript-rna-seq","ENSG00000187116.14",0.431938027212399,0.241699904520547,0.622176149904251,0.000191871793506438,"ADUResist","post_3.5_4_hr","transcript-rna-seq",-0.460965979309962,-0.682324708724493,-0.239607249895431,0.00245302562887817,"353514","LILRA5","ENSG00000187116",NA,NA,NA,NA
"blood","transcript-rna-seq","ENSG00000173011.12",0.287091662093761,0.160607649582429,0.413575674605094,0.000191919116894376,"ADUResist","post_3.5_4_hr","transcript-rna-seq",-0.221088281639661,-0.361353545931751,-0.080823017347571,0.0273440009618446,"93624","TADA2B","ENSG00000173011",NA,NA,NA,NA
"blood","transcript-rna-seq","ENSG00000023445.16",-0.369068561775,-0.53197791036425,-0.20615921318575,0.000198987041167205,"ADUResist","post_3.5_4_hr","transcript-rna-seq",0.396774287136141,0.206260331510435,0.587288242761847,0.00245105281591839,"330","BIRC3","ENSG00000023445",NA,NA,NA,NA
"blood","transcript-rna-seq","ENSG00000161905.13",-0.631637441348377,-0.910446822433503,-0.352828060263251,0.000199804714537107,"ADUResist","post_3.5_4_hr","transcript-rna-seq",0.592749903430399,0.190196788187715,0.995303018673084,0.0440615217477948,"246","ALOX15","ENSG00000161905",NA,NA,NA,NA
"blood","transcript-rna-seq","ENSG00000136371.11",0.486458850848885,0.271602846321402,0.701314855376367,0.000200611701322098,"ADUResist","post_3.5_4_hr","transcript-rna-seq",-0.539242506221282,-0.773713456433172,-0.304771556009393,0.00100800393384187,"10588","MTHFS","ENSG00000136371",NA,NA,NA,NA
