"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Eccentricity","EdgeCount","Indegree","IsSingleNode","Matching.Attribute","name","NeighborhoodConnectivity","nms.score.avg","nms.score.EE","nms.score.RE","Outdegree","PartnerOfMultiEdgedNodePairs","SCION.magical.NMS","selected","SelfLoops","shared name","Stress"
"0.0","0.0","0.0","0.06666666666666667","0","6","6","false","MIR210HG","MIR210HG","632.6666666666666","8.646255E-4","8.27267E-4","9.01984E-4","0","0","0.00391629604515617","false","0","MIR210HG","0"
"0.0","0.0","0.0","0.1","0","5","5","false","ENSG00000279145.2","ENSG00000279145.2","933.6","0.0023247935","0.004148485","5.01102E-4","0","0","0.00407635790386917","false","0","ENSG00000279145.2","0"
"0.0","0.0","0.0","0.5","0","3","3","false","ENSG00000279762.3","ENSG00000279762.3","1495.6666666666667",,,"0.014799593","0","0","0.00338249037540815","false","0","ENSG00000279762.3","0"
"0.0","0.0","0.0","0.21428571428571427","0","7","7","false","MTATP6P1","MTATP6P1","923.5714285714286","0.0109097935","0.021819587","0.0","0","0","0.00885253050688907","false","0","MTATP6P1","0"
"0.0","0.0","0.0","0.0","0","3","3","false","ENSG00000279456.1","ENSG00000279456.1","960.3333333333334","6.05327E-4","9.09993E-4","3.00661E-4","0","0","3.37008328920129E-4","false","0","ENSG00000279456.1","0"
"0.0","0.0","0.0","0.14285714285714285","0","8","8","false","ENSG00000279789.1","ENSG00000279789.1","763.875","0.011431814","0.012607548","0.01025608","0","0","0.00803559297424366","false","0","ENSG00000279789.1","0"
"0.0","0.0","0.0","0.03333333333333333","0","6","6","false","CCDC163","CCDC163","617.0","5.24972E-4","2.4818E-4","8.01764E-4","0","0","0.00402748636039757","false","0","CCDC163","0"
"0.0","0.0","0.0","0.5","0","3","3","false","TMEM272","TMEM272","1525.0",,,"0.013491304","0","0","0.00374357072782258","false","0","TMEM272","0"
"0.0","0.0","0.0","0.16666666666666666","0","3","3","false","TEX52","TEX52","1104.6666666666667","0.0021219763355393778","8.27266710787558E-5","0.004161226","0","0","0.00131163067401002","false","0","TEX52","0"
"0.0","0.0","0.0","0.05","0","5","5","false","MTOR","MTOR","1204.4","0.00227031","6.61813E-4","0.003878807","0","0","0.00437293699506476","false","0","MTOR","0"
"0.0","0.0","0.0","0.0","0","5","5","false","ENSG00000283662.1","ENSG00000283662.1","720.8","3.15784E-4","3.30907E-4","3.00661E-4","0","0","8.85454963373168E-4","false","0","ENSG00000283662.1","0"
