tissue	assay	contrast_type	contrast	contrast_short	collection	database	set_id	set	set_short	set_size	set_size_DB	size_ratio	direction	t	df	z.std	p_value	adj_p_value
adipose	prot-pr	NA	NA	NA	C5	GOBP	07778	GOBP_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS_VIA_THE_MULTIVESICULAR_BODY_SORTING_PATHWAY	GOBP_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS...(07778)	32	37	0.865	Down	-1.51413676561607	7507	-1.51397076359691	0.130033254804792	0.394667068240275
adipose	prot-pr	NA	NA	NA	C5	GOBP	07862	GOBP_VESICLE_FUSION_WITH_GOLGI_APPARATUS	GOBP_VESICLE_FUSION_WITH_GOLGI_APPARATUS	8	9	0.889	Down	-1.51373634477768	7507	-1.51357044775491	0.130134821103369	0.394667068240275
adipose	prot-pr	NA	NA	NA	C5	GOBP	01264	GOBP_CORTICAL_ACTIN_CYTOSKELETON_ORGANIZATION	GOBP_CORTICAL_ACTIN_CYTOSKELETON_ORGANIZATION	33	42	0.786	Up	1.51175696459283	7507	1.51159158588172	0.130637793523665	0.394881682009328
adipose	prot-pr	NA	NA	NA	C5	GOBP	05299	GOBP_PROTEIN_FOLDING	GOBP_PROTEIN_FOLDING	168	223	0.753	Down	-1.50865751963942	7507	-1.50849295015963	0.131428409641806	0.395384489160232
adipose	prot-pr	NA	NA	NA	C5	GOBP	04792	GOBP_POSITIVE_REGULATION_OF_MITOCHONDRIAL_CALCIUM_ION_CONCENTRATION	GOBP_POSITIVE_REGULATION_OF_MITOCHONDRIAL_CALCIUM...(04792)	10	11	0.909	Down	-1.50652922292257	7507	-1.5063652074415	0.131973447149406	0.395668963453646
adipose	prot-pr	NA	NA	NA	C5	GOBP	05390	GOBP_PROTEIN_MATURATION_BY_PROTEIN_FOLDING	GOBP_PROTEIN_MATURATION_BY_PROTEIN_FOLDING	7	8	0.875	Up	1.50101002470399	7507	1.5008474395339	0.133395025363383	0.399025695758828
adipose	prot-pr	NA	NA	NA	C5	GOBP	06545	GOBP_REGULATION_OF_PROTEIN_NEDDYLATION	GOBP_REGULATION_OF_PROTEIN_NEDDYLATION	14	19	0.737	Down	-1.48970162833942	7507	-1.48954194527909	0.136344716508558	0.402777319729727
adipose	prot-pr	NA	NA	NA	C5	GOBP	07181	GOBP_RIBOSOMAL_SUBUNIT_EXPORT_FROM_NUCLEUS	GOBP_RIBOSOMAL_SUBUNIT_EXPORT_FROM_NUCLEUS	11	14	0.786	Down	-1.48952358289221	7507	-1.48936394521928	0.136391557443421	0.402777319729727
adipose	prot-pr	NA	NA	NA	C5	GOBP	00308	GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS	GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS	17	18	0.944	Down	-1.48809308592957	7507	-1.48793381257734	0.136768349508669	0.403133674394466
adipose	prot-pr	NA	NA	NA	C5	GOBP	02484	GOBP_LIPID_DROPLET_DISASSEMBLY	GOBP_LIPID_DROPLET_DISASSEMBLY	6	6	1	Down	-1.48636438644868	7507	-1.48620555255232	0.137224759310061	0.403626944912568
adipose	prot-pr	NA	NA	NA	C5	GOBP	07647	GOBP_TRANSCRIPTION_INITIATION_COUPLED_CHROMATIN_REMODELING	GOBP_TRANSCRIPTION_INITIATION_COUPLED_CHROMATIN_REMODELING	27	38	0.711	Up	1.48451727754734	7507	1.4843589122277	0.137713728944419	0.403626944912568
adipose	prot-pr	NA	NA	NA	C5	GOBP	06609	GOBP_REGULATION_OF_RETROGRADE_TRANSPORT_ENDOSOME_TO_GOLGI	GOBP_REGULATION_OF_RETROGRADE_TRANSPORT_ENDOSOME_TO_GOLGI	6	7	0.857	Up	1.48387762442766	7507	1.48371942114012	0.13788337177463	0.403626944912568
adipose	prot-pr	NA	NA	NA	C5	GOBP	07811	GOBP_VACUOLAR_TRANSPORT	GOBP_VACUOLAR_TRANSPORT	119	170	0.7	Down	-1.48186196580943	7507	-1.48170427232054	0.138418999815963	0.403661819209519
adipose	prot-pr	NA	NA	NA	C5	GOBP	01310	GOBP_CYTOPLASMIC_SEQUESTERING_OF_TRANSCRIPTION_FACTOR	GOBP_CYTOPLASMIC_SEQUESTERING_OF_TRANSCRIPTION_FACTOR	10	14	0.714	Up	1.48160925765471	7507	1.4814516279957	0.138486265802503	0.403661819209519
adipose	prot-pr	NA	NA	NA	C5	GOBP	07708	GOBP_TROPHOBLAST_CELL_MIGRATION	GOBP_TROPHOBLAST_CELL_MIGRATION	13	18	0.722	Up	1.48010146938937	7507	1.47994422018003	0.138888133275586	0.404079299509797
adipose	prot-pr	NA	NA	NA	C5	GOBP	02635	GOBP_MAINTENANCE_OF_PROTEIN_LOCATION_IN_NUCLEUS	GOBP_MAINTENANCE_OF_PROTEIN_LOCATION_IN_NUCLEUS	18	23	0.783	Up	1.47898652857904	7507	1.47882956026272	0.139185873255171	0.404079299509797
adipose	prot-pr	NA	NA	NA	C5	GOBP	01233	GOBP_COMPLEMENT_ACTIVATION_ALTERNATIVE_PATHWAY	GOBP_COMPLEMENT_ACTIVATION_ALTERNATIVE_PATHWAY	13	18	0.722	Down	-1.47818711047457	7507	-1.47803034333393	0.139399656692389	0.404079299509797
adipose	prot-pr	NA	NA	NA	C5	GOBP	00844	GOBP_CDP_DIACYLGLYCEROL_BIOSYNTHETIC_PROCESS	GOBP_CDP_DIACYLGLYCEROL_BIOSYNTHETIC_PROCESS	10	13	0.769	Up	1.47478699192614	7507	1.47463107832801	0.140311754786746	0.405975555210181
adipose	prot-pr	NA	NA	NA	C5	GOBP	05624	GOBP_REGULATION_OF_ANGIOTENSIN_LEVELS_IN_BLOOD	GOBP_REGULATION_OF_ANGIOTENSIN_LEVELS_IN_BLOOD	7	10	0.7	Up	1.47209092056504	7507	1.47193568134956	0.141038247038207	0.406582785417835
adipose	prot-pr	NA	NA	NA	C5	GOBP	07875	GOBP_VESICLE_TETHERING_TO_GOLGI	GOBP_VESICLE_TETHERING_TO_GOLGI	5	5	1	Down	-1.47040734139968	7507	-1.47025252222273	0.141493374536557	0.40714912526607
adipose	prot-pr	NA	NA	NA	C5	GOBP	05286	GOBP_PROTEIN_DEPALMITOYLATION	GOBP_PROTEIN_DEPALMITOYLATION	6	8	0.75	Down	-1.46528703008974	7507	-1.46513348327549	0.142884502980755	0.40766536726657
adipose	prot-pr	NA	NA	NA	C5	GOBP	07874	GOBP_VESICLE_TETHERING_INVOLVED_IN_EXOCYTOSIS	GOBP_VESICLE_TETHERING_INVOLVED_IN_EXOCYTOSIS	9	9	1	Down	-1.46447820267785	7507	-1.4643248561494	0.143105208829081	0.40766536726657
adipose	prot-pr	NA	NA	NA	C5	GOBP	03961	GOBP_NUCLEOBASE_CONTAINING_SMALL_MOLECULE_INTERCONVERSION	GOBP_NUCLEOBASE_CONTAINING_SMALL_MOLECULE...(03961)	7	8	0.875	Down	-1.46213975181983	7507	-1.46198698327417	0.143744776895138	0.40766536726657
adipose	prot-pr	NA	NA	NA	C5	GOBP	03003	GOBP_MULTIVESICULAR_BODY_ORGANIZATION	GOBP_MULTIVESICULAR_BODY_ORGANIZATION	30	32	0.938	Down	-1.45743235142291	7507	-1.45728074154131	0.145038900664898	0.410228563579759
adipose	prot-pr	NA	NA	NA	C5	GOBP	03219	GOBP_NEGATIVE_REGULATION_OF_CELL_SUBSTRATE_JUNCTION_ORGANIZATION	GOBP_NEGATIVE_REGULATION_OF_CELL_SUBSTRATE...(03219)	15	16	0.938	Up	1.45666232096679	7507	1.4565109000036	0.145251438635433	0.410228563579759
adipose	prot-pr	NA	NA	NA	C5	GOBP	00457	GOBP_AMP_METABOLIC_PROCESS	GOBP_AMP_METABOLIC_PROCESS	20	23	0.87	Down	-1.45601440420833	7507	-1.45586314207069	0.145430456466014	0.410228563579759
adipose	prot-pr	NA	NA	NA	C5	GOBP	01756	GOBP_ETHANOL_OXIDATION	GOBP_ETHANOL_OXIDATION	8	9	0.889	Up	1.44622022174655	7507	1.44607134564499	0.148157191751088	0.415685240314104
adipose	prot-pr	NA	NA	NA	C5	GOBP	06469	GOBP_REGULATION_OF_PLATELET_DERIVED_GROWTH_FACTOR_RECEPTOR_BETA_SIGNALING_PATHWAY	GOBP_REGULATION_OF_PLATELET_DERIVED_GROWTH_FACTOR...(06469)	7	8	0.875	Up	1.43955514655704	7507	1.43940787833239	0.150034993519867	0.417003863202727
adipose	prot-pr	NA	NA	NA	C5	GOBP	01713	GOBP_ESTABLISHMENT_OF_CENTROSOME_LOCALIZATION	GOBP_ESTABLISHMENT_OF_CENTROSOME_LOCALIZATION	7	10	0.7	Up	1.43779090068124	7507	1.43764405592163	0.150535073909243	0.417003863202727
adipose	prot-pr	NA	NA	NA	C5	GOBP	03945	GOBP_NUCLEAR_PORE_ORGANIZATION	GOBP_NUCLEAR_PORE_ORGANIZATION	13	15	0.867	Up	1.43704588616292	7507	1.43689921995779	0.150746631615217	0.417003863202727
adipose	prot-pr	NA	NA	NA	C5	GOBP	05300	GOBP_PROTEIN_FOLDING_IN_ENDOPLASMIC_RETICULUM	GOBP_PROTEIN_FOLDING_IN_ENDOPLASMIC_RETICULUM	11	12	0.917	Up	1.42294400399143	7507	1.42280068757461	0.154793942000366	0.420379037841963
adipose	prot-pr	NA	NA	NA	C5	GOBP	00438	GOBP_AMINO_ACID_BETAINE_METABOLIC_PROCESS	GOBP_AMINO_ACID_BETAINE_METABOLIC_PROCESS	13	17	0.765	Down	-1.42207531405508	7507	-1.42193220213502	0.155045933750224	0.420379037841963
adipose	prot-pr	NA	NA	NA	C5	GOBP	04940	GOBP_POSITIVE_REGULATION_OF_PROTEIN_BINDING	GOBP_POSITIVE_REGULATION_OF_PROTEIN_BINDING	43	61	0.705	Up	1.42168140862306	7507	1.42153838936094	0.15516030144286	0.420379037841963
adipose	prot-pr	NA	NA	NA	C5	GOBP	01251	GOBP_COPPER_ION_HOMEOSTASIS	GOBP_COPPER_ION_HOMEOSTASIS	15	20	0.75	Down	-1.42103225959204	7507	-1.42088939293244	0.155348917106074	0.420379037841963
adipose	prot-pr	NA	NA	NA	C5	GOBP	04246	GOBP_PIECEMEAL_MICROAUTOPHAGY_OF_THE_NUCLEUS	GOBP_PIECEMEAL_MICROAUTOPHAGY_OF_THE_NUCLEUS	7	10	0.7	Up	1.41851398444233	7507	1.41837170864969	0.156082270926888	0.420379037841963
adipose	prot-pr	NA	NA	NA	C5	GOBP	01440	GOBP_DICARBOXYLIC_ACID_CATABOLIC_PROCESS	GOBP_DICARBOXYLIC_ACID_CATABOLIC_PROCESS	16	19	0.842	Down	-1.41835660221185	7507	-1.41821436328637	0.1561281897093	0.420379037841963
adipose	prot-pr	NA	NA	NA	C5	GOBP	07890	GOBP_VIRAL_TRANSLATION	GOBP_VIRAL_TRANSLATION	19	21	0.905	Down	-1.41699276419387	7507	-1.41685084445699	0.156526540657371	0.420379037841963
adipose	prot-pr	NA	NA	NA	C5	GOBP	05579	GOBP_REELIN_MEDIATED_SIGNALING_PATHWAY	GOBP_REELIN_MEDIATED_SIGNALING_PATHWAY	5	7	0.714	Down	-1.41677829711011	7507	-1.41663642751856	0.156589252469063	0.420379037841963
adipose	prot-pr	NA	NA	NA	C5	GOBP	07488	GOBP_SUCCINYL_COA_CATABOLIC_PROCESS	GOBP_SUCCINYL_COA_CATABOLIC_PROCESS	5	6	0.833	Down	-1.41651344204254	7507	-1.41637163435976	0.156666724408876	0.420379037841963
adipose	prot-pr	NA	NA	NA	C5	GOBP	01294	GOBP_CYCLOOXYGENASE_PATHWAY	GOBP_CYCLOOXYGENASE_PATHWAY	8	9	0.889	Down	-1.41603601647143	7507	-1.41589432033477	0.156806448117065	0.420379037841963
adipose	prot-pr	NA	NA	NA	C5	GOBP	04270	GOBP_PLASMA_MEMBRANE_REPAIR	GOBP_PLASMA_MEMBRANE_REPAIR	22	29	0.759	Down	-1.41523455731261	7507	-1.41509304828463	0.157041216169679	0.420379037841963
adipose	prot-pr	NA	NA	NA	C5	GOBP	02217	GOBP_IMMUNE_RESPONSE_REGULATING_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY_INVOLVED_IN_PHAGOCYTOSIS	GOBP_IMMUNE_RESPONSE_REGULATING_CELL_SURFACE...(02217)	22	26	0.846	Up	1.41259877116657	7507	1.41245787620956	0.157815185439699	0.421018816749298
