Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
11432010401,0.0497699429791634,0,0.00781794938690662,0.0539157075223033,0.0369137665347279,0.0828851511171814,0,0,0,0,0.0404913862076801,0.0121487869028014,0.167215359017199,0.0295765350509785,0,0,0,0,0.0270831990072881,0,0,0.49218221627377,0,0.643025443394201,0.770812410824372
11333070401,0.0289413470854873,0,0.0106864445506064,0.103469225656844,0.0618916281971179,0.0782647608876484,0,0,0,0,0.115561334301336,0,0.192622379293629,0.00117839438836109,0,0,0,0.00188820318581479,0.0262463755312324,0,0,0.379249906921923,0,0.622735638451429,0.782902811174261
11431030401,0.000740985962482238,0.00434469579008592,0.00407878990085736,0.0673650128114287,0.0329652573735601,0.10348159731551,0,0,0,0,0.0722146116982182,0,0.162674976156905,0.0102437029601899,0,0,0,0,0.0203585017660725,0,0,0.521531868264691,0,0.643215558449535,0.774859356064368
11284040401,0.0163792312501084,0.00738318624097348,0.00265318231636566,0.0949386840758472,0,0.0887362163030855,0.000966989075300969,0,0.00070032534152497,0,0.0905825404937783,0,0.138063297646828,0,0,0,0,0.00343845443560218,0.01766759730574,0,0,0.538490295514845,0,0.676781877860796,0.743242105230537
11158050401,0.0239325691260335,0.00795336909290455,0.00037009773242418,0.118559194168043,0.00791481204626124,0.0656683465401884,0,0,0.017858331309693,0,0.0881666445925309,0.00801672751406722,0.151790090160932,0.0115157443087031,0,0,0,0,0.0280042530856178,0,0,0.470249820322601,0,0.576738506707159,0.82724924642934
11204010401,0.064280844956997,0,0.0079514058631933,0.0167279564534103,0.0890410118480501,0.0532509671648932,0,0,0,0,0.0559364186661358,0,0.123708272142651,0.00439631706567862,0,0,0,0,0,0,0,0.58470680583899,0,0.626920221375272,0.800530262987594
11202050401,0.0347600778841937,0,0.00635602411956199,0.0173662904989858,0.039317695997433,0.107867552801861,0,0,0.00732928032210392,0,0.0497746230848529,0,0.102735293143424,0.001621521969856,3.73312140750399e-05,0,0,0,0,0,0,0.632834308963653,0,0.634145133210264,0.804282331320921
11021050401,0.0352665737660582,0,0.00742044279918933,0.0453761270790741,0.0396843435550181,0.0590324093212701,0,0,0,0,0.106890339633175,0,0.135432030628293,0.0462670996187171,0,0,0,0,0.00853836195893098,0,0,0.516092271640275,0,0.618027958020723,0.797191722983526
11363010401,0.021301530529631,0.000988843105973634,0.0102630430767914,0.0699272900978117,0.0818434829548828,0.0211420087873549,0,0,0.0125397972491074,0,0.0377921994488579,0.00403283987545712,0.21819691899385,0.0113084520478588,0,0,0,0,0.0178052438431626,0,0,0.49285834998926,0,0.584116402433522,0.827534724537881
11403030401,0.0225906957412714,0,0.00956623611023293,0.0633699635975552,0.0556812067725773,0,0.00398947092957844,0,0.0142552250698849,0,0.129001922599078,0.00819753246166184,0.123087683495645,0.0339593163996974,0,0,0,0,0.044077331435593,0,0,0.492223415387224,0,0.589028758777605,0.818758696272034
11001020401,0.00965371344548907,0,0.00364839235658153,0.00440978328533781,0.0230365191232265,0.104040877847923,0,0,0,0,0.110796808272466,0,0.0926551613598695,0.0642236884522253,0,0,0,0.000285386669175147,0.0104100946964662,0,0,0.57683957449124,0,0.686429542666341,0.73729714185929
11322010401,0.0580286287600121,0,0.0114077224051162,0.0479214657428465,0.110203479274589,0.0713229580043411,0,0,0.00437080306691244,0,0.0587138985705836,0,0.206625254814917,0.00440259317826107,0,0,0,0.00535474578997944,0.0287753425662878,0,0,0.392873107826154,0,0.656979476268755,0.754328437876466
11246040401,0.0420294209560341,0,0.000236621672318376,0.00352753954977915,0.0594469821156958,0.000330214766111776,0,0,0.0141143030326061,0,0.0882582690212048,0,0.163276889399515,0.0690306199123645,0.000446376248572807,0,0,0,0.00754891317081714,0,0,0.55175385015498,0,0.596488081049105,0.827606340120302
11244070401,0.0463241799227039,0,0.0123455418683247,0.0571750733076003,0.0725775861830319,0.0255313838340123,0.00469489169940643,0,0.0160657442473151,0,0.0631887846380537,0,0.17988819754246,0.00106339195409496,0,0,0,0.000768059359512044,0.000501235300661302,0,0,0.519875930142823,0,0.610674243703535,0.806033688093786
11246070401,0.0199523633803836,0.00502094381679814,0.00296955500740916,0.0496448807179371,0.0732429999370382,0.0189495196131918,0,0,0.0223304465850739,0,0.0688035222432439,0.019523256094003,0.182281932467865,0.00427294366967937,0,0,0,0,0.0389455649493158,0,0,0.494062071518061,0,0.631403039678264,0.782624577260796
11366060401,0.0422290173855984,0,0.00378499210293927,0.078806111204471,0.0191113566230041,0.0322941165704221,0,0,0.0279857555325187,0,0.0730602613652897,0.00858662769816906,0.133024795923428,0.0443231065624765,0,0,0,0.000870221872604524,0.0307776448264145,0,0,0.505145992332664,0,0.661402701075253,0.754303570126908
11154050401,0.0824207468776941,0,0.00511016767539677,0.0966071020111632,0.0198271082221237,0.0297115140386995,0,0,0.0439885071305548,0,0.0195893281958666,0.0266475445916647,0.116610026642581,0,0,0,0,0.00417436232667992,0.0376305488254797,0,0,0.517683043462096,0,0.601166581875816,0.810533937894088
11329070401,0.032335073748763,0.00626856273028858,0.013029457397004,0.0675017671981476,0.0524691952712486,0.103037037030038,0,0,0,0,0.0802114442988996,0,0.155262153449139,0.0158471354440777,0,0,0,0,0.0226130496299158,0,0,0.451425123802478,0,0.621416453425497,0.786229456645221
11246060401,0.0568594820866459,0,0,0.0192985235757978,0.0455554027822437,0,0,0,0.0142686976508123,0,0.0850327273534359,0,0.12904582261072,0.0636532688437153,0.00080999734513119,0,0,0,0,0,0,0.585476077751498,0,0.61891693946932,0.81162842602929
11328040401,0.108015649827646,0,0.00620907184557091,0.136556652590175,0.026862986605957,0.0307463665567604,0.000176190925485998,0,0.0269101816012731,0,0.146977630553579,0,0.127207718202282,0,0,0,0,0.000408654962019509,0.034872152752334,0,0,0.355056743576916,0,0.573483547182325,0.820384923492666
11167060401,0.0724629896188702,0,0.00533459924757109,0.0505101101904199,0.0781894274194256,0.0326680628514453,0,0,0.0370882822512289,0,0.0701560056252771,0.0212271288725087,0.146297377874837,0.0154483954381702,0,0,0,0,0.0378025407455169,0,0,0.432815079864729,0,0.544961741992179,0.846175188699336
11018040401,0.0171389027485087,0.0183727387306672,0.014559666532863,0.010642636522528,0.0435134047879754,0.0528586800857822,0,0,0.0334062243838756,0,0.0445988432622969,0,0.276052096591328,0,0,0,0,0,0.00522023384443288,0,0,0.483636572509742,0,0.646788677397868,0.770967062384359
11287050401,0.00199826313439653,0.0182201718549507,0.00703686018634264,0.0231963395781565,0.0432794296241181,0.054544067775426,0.0136360687866601,0,0,0,0.0789681761265607,0,0.11087890843749,0.00952968144055784,0,0,0,0.0163798804087914,0.00964562721961339,0,0,0.612686525426936,0,0.685754337254141,0.743801545022242
11018010401,0.0238977843499284,0.00235443975519617,0.00908706828558036,0.0357464318710565,0.0505424715708674,0.0471342903827625,0,0,0.00941192994800587,0,0.0283749399812189,0.00369266128449374,0.243288193077971,0,0,0,0,0.00416306284387639,0.0215238985431103,0,0,0.520782828105932,0,0.665427210727471,0.756167204210448
11290060401,0.0449639212480808,0.0133653995520897,0.0102561909798664,0.0326265026859617,0.0571060473564834,0.0403506253905422,0,0,0.0188545730817587,0,0.0447333920928067,0.0155538848643164,0.119048499743131,0.00779757437139374,0,0,0,0.0097685820439006,0.03130889391533,0,0,0.554265912674339,0,0.677092627687805,0.742909408256401
11244010401,0.0310637168220319,0,0.010025034413069,0.0776501286838793,0.0491985209069526,0,0,0,0.0350441599748973,0,0.0401645065170664,0.0247119175298209,0.146752064211425,0.00327387851815522,0,0,0,0.00270113157701721,0.0400586960884241,0,0,0.539356244757261,0,0.61116057049469,0.806930061795015
11418030401,0.0829966205019376,0,0.0211153186333782,0.114242953873268,0.0622538613513806,0.092259639353372,0,0,0,0,0.139030285435776,0,0.15117486757151,0,0,0,0,0,0.0213049916489486,0,0,0.31562146163043,0,0.613950249461578,0.790858503093456
11305010401,0.0378143326652851,0,0.0127139437229349,0.027774015598134,0.0440516539223014,0.080247280218897,0,0,0,0,0.0683412563256523,0,0.141612495384756,0.00263348280391565,0,0,0,0,0.0208613735035205,0,0,0.563950165854604,0,0.649752878498804,0.77372457826161
11265040401,0.0326343420869641,0.00200892029478708,0.00383909175461832,0.0573851617216652,0.0489047381454956,0.0876136284700343,0,0,0.0299772243833358,0,0.125460811781897,0.0118131250435602,0.182316210970328,0,0,0,0,0.00227717924160772,0.0483523919989747,0,0,0.367417174106732,0,0.616459890265166,0.787748033343689
11035040401,0.0248651291044044,0,0.0121647959899486,0.0317135229711602,0.0556302797015053,0.060561042842609,0,0,0.010171708298744,0,0.0822238680956595,0,0.165391827941221,0.048776247225344,0,0,0,0,0.0150688046098101,0,0,0.493432773219594,0,0.61715678423087,0.795179478931451
11410030401,0.0260068093107115,0,0.00680127167575195,0.151752776057703,0,0.0306564246028167,0,0,0.018857168747285,0,0.222734380426089,0,0.126715249755513,0.000554841527508495,0,0,0,0,0.0283969926332376,0,0,0.387524085263383,0,0.580413889927676,0.8189093236867
11167020401,0.0846023847476521,0,0.00737273916523685,0.100488552549712,0.063996852868549,0.00483141268175132,0,0,0.0513212341822484,0,0.160306055187749,0,0.16520400511735,0,0,0,0,0,0.0354005824955471,0,0,0.326476181004205,0,0.56073731848364,0.828633747055808
11055050401,0.029484247087131,0.00419011866824114,0.00705280619806011,0.0516555412532502,0.0328511920009606,0.132532807080921,0,0,0,0,0.068099402628469,0,0.122041991558926,0.0145338923095307,0,0,0,0.00607511800898584,0.0139210424440129,0,0,0.517561840761512,0,0.633557329347871,0.781362783748567
11033020401,0.0813998298938699,0,0.0118818716427137,0.127856900626879,0.023671035986117,0.0121370329625064,0,0,0.0323071062076151,0,0.156251932894808,0,0.122883776033647,0.0203222624334251,0,0,0,0,0.0216664622838047,0,0,0.389621789034614,0,0.572186519607568,0.822884994513294
11325060401,0.103824423232017,0,0.00996851996638162,0.0659557468796507,0.0243659195838758,0.0480931276186604,0,0,0.0243813074818976,0,0.0100929903183123,0.0265944137311544,0.170942775500007,0,0,0,0,0,0.0432402367529518,0,0,0.472540538935091,0,0.656705717360581,0.756503453371688
